station,target,RMSE,MAE,R2,test_amount
臺大小小福西南側,borrow_count,2.094167994155775,1.3015517397364313,0.4551148282832178,2136
臺大小小福西南側,return_count,1.7449691081442884,1.1041699403397607,0.5315958685292674,2136
臺大小小福西南側,net_borrow,1.7517244183640062,1.0437332896808753,-0.008973058323653804,2136
臺大小福樓東側,borrow_count,22.845858984980495,12.896731084125674,0.6978678805939478,2136
臺大小福樓東側,return_count,22.01147837483117,12.634273395446286,0.6868706939188605,2136
臺大小福樓東側,net_borrow,9.179828608156571,5.668440815070756,0.47869226581552193,2136
臺大工綜館南側,borrow_count,8.296610264400774,5.547787024948234,0.6544049283248975,2112
臺大工綜館南側,return_count,7.595613920727418,4.835413862536412,0.6921882360513922,2112
臺大工綜館南側,net_borrow,7.931188268362483,5.274749932481699,0.41421743975847103,2112
臺大心理系館南側,borrow_count,5.82319636382391,3.4105051580894012,0.5855436729671086,2136
臺大心理系館南側,return_count,5.084728566063823,3.1071278882731943,0.5973838143437298,2136
臺大心理系館南側,net_borrow,5.939234544705648,3.5834500930011215,0.44676925976682014,2136
臺大思亮館東南側,borrow_count,3.67123633009463,2.253656269975788,0.47424543873915437,2136
臺大思亮館東南側,return_count,3.2738526170572486,2.0212683587988116,0.5548347805003532,2136
臺大思亮館東南側,net_borrow,4.436282036556628,2.730271594768222,0.2721663442446616,2136
臺大教研館北側,borrow_count,4.921537096267913,3.3397678520935328,0.5032036156241693,2160
臺大教研館北側,return_count,3.7832300373109766,2.5953838718101543,0.5862179747966794,2160
臺大教研館北側,net_borrow,3.9164608212596526,2.461899714802757,0.1879210809517109,2160
臺大新生教室南側,borrow_count,8.53205314032491,4.941592501282685,0.553382648995951,2136
臺大新生教室南側,return_count,9.060195308637184,5.119832839401024,0.4470842415941779,2136
臺大新生教室南側,net_borrow,5.412243623925192,3.33961112894447,0.2412178382555461,2136
臺大新體育館東南側,borrow_count,16.29669519989553,10.882092145821131,0.6271523359660289,2136
臺大新體育館東南側,return_count,15.263947155653678,10.150711531298866,0.645099615795866,2136
臺大新體育館東南側,net_borrow,11.963450308519866,7.5267002418901185,0.12976946387552857,2136
臺大明達館北側(員工宿舍),borrow_count,1.8811655721388072,1.3124241146487234,0.29319205335105303,2136
臺大明達館北側(員工宿舍),return_count,1.717159031534336,1.1967295110218212,0.2491948568390464,2136
臺大明達館北側(員工宿舍),net_borrow,2.041970770159994,1.3370388109552795,0.03522115007239002,2136
臺大明達館機車停車場,borrow_count,5.387632951556136,3.338860309036583,0.5034572527088417,2184
臺大明達館機車停車場,return_count,4.970244656658526,3.223936604912374,0.4914845094136877,2184
臺大明達館機車停車場,net_borrow,4.741675220893181,2.818856411629697,-0.007508232171140605,2184
臺大森林館北側,borrow_count,2.8254217512124327,1.8340046136414143,0.49660263568080054,2136
臺大森林館北側,return_count,2.5526384278412872,1.5624850890350648,0.5575868914034279,2136
臺大森林館北側,net_borrow,2.354734595047196,1.492619850142988,0.12655922047390533,2136
臺大椰林小舖,borrow_count,10.704071906668538,7.489924871414173,0.45114845029787964,2232
臺大椰林小舖,return_count,9.60494695511885,6.533478605338095,0.5866121937080548,2232
臺大椰林小舖,net_borrow,8.221399969261666,5.3355871067762575,0.09616088330277184,2232
臺大樂學館東側,borrow_count,13.078642405615483,8.382649360501556,0.6078514302222202,2160
臺大樂學館東側,return_count,12.438982563290159,7.798600220495808,0.6225247505050737,2160
臺大樂學館東側,net_borrow,6.764596577213653,4.1648944347253085,0.09889174150778568,2160
臺大法人語言訓練中心前,borrow_count,4.275859406965496,2.7496885538336886,0.4966848282784422,2160
臺大法人語言訓練中心前,return_count,3.5655471383204747,2.409659161779696,0.6034178433958632,2160
臺大法人語言訓練中心前,net_borrow,4.35637233362525,2.7519351635284885,0.27910170748004914,2160
臺大獸醫館南側,borrow_count,5.708050338282375,3.6688260372783725,0.5418134068748044,2160
臺大獸醫館南側,return_count,5.322399524808615,3.297869125549676,0.6000062348250299,2160
