sno,station,date,hour,borrow_count,return_count,net_borrow,borrow_pred,return_pred,net_borrow_pred,inventory,total
500101041,辛亥新生路口東南側,2024-12-06,19,19,11,8,10.626682074383472,14.25388197323502,-3.4687816301453984,41,41
500101041,辛亥新生路口東南側,2024-12-06,20,10,10,0,11.904671461229748,6.725834072371889,4.862577252433279,41,41
500101041,辛亥新生路口東南側,2024-12-06,21,12,8,4,9.290914494811938,5.713233155269106,3.55833316741669,41,41
500101041,辛亥新生路口東南側,2024-12-06,22,4,3,1,7.301369771734776,4.619391669486312,2.738317992240153,41,41
500101041,辛亥新生路口東南側,2024-12-06,23,3,1,2,1.3785211089059786,1.1032196045104559,0.2625987632317747,41,41
500101041,辛亥新生路口東南側,2024-12-07,0,2,0,2,1.8213741628537736,2.442854648694676,-0.5907928503059877,41,41
500101041,辛亥新生路口東南側,2024-12-07,1,2,0,2,2.132834805288756,2.574874528313001,-0.27066491595420694,41,41
500101041,辛亥新生路口東南側,2024-12-07,2,0,0,0,1.775079525687326,1.8339624179181069,0.08537460398727442,41,41
500101041,辛亥新生路口東南側,2024-12-07,3,0,1,-1,2.1578974894508995,1.647358654426287,0.7851997615956202,41,41
500101041,辛亥新生路口東南側,2024-12-07,4,1,1,0,1.4040887160392428,1.4756630122462966,0.05817620244518143,41,41
500101041,辛亥新生路口東南側,2024-12-07,5,0,2,-2,1.6349939661225295,1.6981861269508645,-0.08960164473418493,41,41
500101041,辛亥新生路口東南側,2024-12-07,6,0,3,-3,6.707326954947092,4.624079370298004,1.9818370086631476,41,41
500101041,辛亥新生路口東南側,2024-12-07,7,3,14,-11,7.498673916804855,7.963341750372268,-1.8654854493699689,41,41
500101041,辛亥新生路口東南側,2024-12-07,8,11,31,-20,7.737781307999779,8.556557016445227,-2.3224907318808885,41,41
500101041,辛亥新生路口東南側,2024-12-07,9,18,16,2,7.977242305291047,8.753891451107188,-1.9178187218318703,41,41
500101041,辛亥新生路口東南側,2024-12-07,10,18,15,3,10.298368011849364,10.255941010613679,-0.2547272375817782,41,41
500101041,辛亥新生路口東南側,2024-12-07,11,22,21,1,8.836680552123005,8.501367744942097,0.5119170199678381,41,41
500101041,辛亥新生路口東南側,2024-12-07,12,15,16,-1,9.5660949419803,8.83512973758087,0.009329025971068772,41,41
500101041,辛亥新生路口東南側,2024-12-07,13,16,18,-2,9.10419159480671,9.155578526201149,-0.5504879939640142,41,41
500101041,辛亥新生路口東南側,2024-12-07,14,16,14,2,9.833940765047556,9.97757817002005,-0.7801939509512189,41,41
500101041,辛亥新生路口東南側,2024-12-07,15,18,32,-14,9.99210139250496,10.053654228617882,-0.4535286896392272,41,41
500101041,辛亥新生路口東南側,2024-12-07,16,65,27,38,10.591461134598172,9.349159069198707,-0.09120391210156614,41,41
500101041,辛亥新生路口東南側,2024-12-07,17,14,20,-6,12.342134692855659,13.851793328901351,0.09937727716029233,41,41
500101041,辛亥新生路口東南側,2024-12-07,18,9,6,3,15.590213345239704,13.780398541280197,1.5944283270234,41,41
500101041,辛亥新生路口東南側,2024-12-07,19,9,9,0,14.139318489356672,12.545916206431635,2.034190420028288,41,41
500101041,辛亥新生路口東南側,2024-12-07,20,7,4,3,6.027978740762077,4.866151651080364,1.1911157745093888,41,41
500101041,辛亥新生路口東南側,2024-12-07,21,13,3,10,11.591576443675203,7.150714721483101,4.67361605964086,41,41
500101041,辛亥新生路口東南側,2024-12-07,22,5,5,0,6.232627975134338,5.656756490316825,0.7929109763428207,41,41
500101041,辛亥新生路口東南側,2024-12-07,23,1,4,-3,1.8588179224970307,2.7531783574425988,-0.5574826045474588,41,41
500101041,辛亥新生路口東南側,2024-12-08,0,1,0,1,1.3924521073738123,1.2653443929844792,0.1256992638168212,41,41
500101041,辛亥新生路口東南側,2024-12-08,1,1,3,-2,2.0782560865488953,2.4114611010333604,-0.22208135478606486,41,41
500101041,辛亥新生路口東南側,2024-12-08,2,1,0,1,2.148904389050448,2.5000143286181657,-0.21043999222690818,41,41
500101041,辛亥新生路口東南側,2024-12-08,3,0,0,0,1.8907568508697985,1.9017184352556273,0.005277753919296295,41,41
500101041,辛亥新生路口東南側,2024-12-08,4,1,1,0,2.0930874149521475,2.565738988353201,-0.19808258324356076,41,41
500101041,辛亥新生路口東南側,2024-12-08,5,0,0,0,1.8975431787201225,2.072756789457321,0.012067604949066755,41,41
