station,target,R2_12m,RMSE_12m,MAE_12m,test_n,model_path
捷運公館站(4號出口),net_borrow,0.07561027004025689,3.5755936277832645,2.5237364676001595,743,models/model_捷運公館站(4號出口)_net_borrow.rds
新生南路三段52號前,borrow_count,0.3840057089208342,3.139011914945459,2.430814791580169,743,models/model_新生南路三段52號前_borrow_count.rds
新生南路三段52號前,return_count,0.5160629163874613,3.2160309087947434,2.4385292370805502,743,models/model_新生南路三段52號前_return_count.rds
新生南路三段52號前,net_borrow,0.19317211652144584,3.218591645434651,2.3459702458475378,743,models/model_新生南路三段52號前_net_borrow.rds
新生南路三段66號前,borrow_count,0.617692943284031,5.377842918444051,3.811547244462132,743,models/model_新生南路三段66號前_borrow_count.rds
新生南路三段66號前,return_count,0.7166933241170317,4.632112325093608,3.2795014518532346,743,models/model_新生南路三段66號前_return_count.rds
新生南路三段66號前,net_borrow,0.11424769214238362,3.986332948326073,2.722579030652763,743,models/model_新生南路三段66號前_net_borrow.rds
新生南路三段82號前,borrow_count,0.5602469425206047,7.539472463096979,5.597370610158339,743,models/model_新生南路三段82號前_borrow_count.rds
新生南路三段82號前,return_count,0.7102217271712536,6.150884249982171,4.498383953262618,743,models/model_新生南路三段82號前_return_count.rds
新生南路三段82號前,net_borrow,0.1609638711413336,5.332287122216555,3.8060041699823506,743,models/model_新生南路三段82號前_net_borrow.rds
新生南路三段94巷口,borrow_count,0.5590584360354455,6.207539200467984,4.4318444835083985,743,models/model_新生南路三段94巷口_borrow_count.rds
新生南路三段94巷口,return_count,0.6449948074928792,5.3906297413852755,3.9184234767714092,743,models/model_新生南路三段94巷口_return_count.rds
新生南路三段94巷口,net_borrow,0.07498452499170949,3.7882852740245694,2.7309677914002526,743,models/model_新生南路三段94巷口_net_borrow.rds
第二學生活動中心,borrow_count,0.5430073518404679,5.777179115130002,4.26632980251272,743,models/model_第二學生活動中心_borrow_count.rds
第二學生活動中心,return_count,0.6173837111263071,5.2593150283925585,3.827173909158853,743,models/model_第二學生活動中心_return_count.rds
第二學生活動中心,net_borrow,0.08971327548483365,4.827857062214399,3.455493684602313,743,models/model_第二學生活動中心_net_borrow.rds
臺大一號館,borrow_count,0.4034920031255427,5.4983457659807735,4.0658564826623005,743,models/model_臺大一號館_borrow_count.rds
臺大一號館,return_count,0.5788547787879545,4.207054851588712,3.0298254921804078,743,models/model_臺大一號館_return_count.rds
臺大一號館,net_borrow,0.14947604126916747,4.874754143161891,3.2160898580487904,743,models/model_臺大一號館_net_borrow.rds
臺大二號館,borrow_count,0.43269106896618803,3.4281452069384666,2.257553300097959,743,models/model_臺大二號館_borrow_count.rds
臺大二號館,return_count,0.4521083905068233,3.2085794184716647,2.0576641699204106,743,models/model_臺大二號館_return_count.rds
臺大二號館,net_borrow,-0.03319821058193395,2.0676639652250444,1.2867834625559056,743,models/model_臺大二號館_net_borrow.rds
臺大五號館西側,borrow_count,0.6233272133064632,6.445213598815724,3.836243407229946,743,models/model_臺大五號館西側_borrow_count.rds
臺大五號館西側,return_count,0.6590518175324237,5.812564906330956,3.2648602955499504,743,models/model_臺大五號館西側_return_count.rds
臺大五號館西側,net_borrow,0.030291115783789624,4.621608199780901,2.8701444972868977,743,models/model_臺大五號館西側_net_borrow.rds
臺大公館停車場西北側,borrow_count,0.2570357162777789,1.897120949860772,1.443726664882083,743,models/model_臺大公館停車場西北側_borrow_count.rds
臺大公館停車場西北側,return_count,0.3895663028580545,1.4037401535695329,1.0656686143850183,743,models/model_臺大公館停車場西北側_return_count.rds
臺大公館停車場西北側,net_borrow,0.1414563337776077,1.9886368573833164,1.3445518881208431,743,models/model_臺大公館停車場西北側_net_borrow.rds
臺大共同教室東南側,borrow_count,0.5359218112816642,7.40912202446096,4.5966866063786425,743,models/model_臺大共同教室東南側_borrow_count.rds
臺大共同教室東南側,return_count,0.5682269198120393,7.085326160490163,4.288772699522844,743,models/model_臺大共同教室東南側_return_count.rds
臺大共同教室東南側,net_borrow,-0.021804113646951784,2.7783435618981294,1.7035839390218515,743,models/model_臺大共同教室東南側_net_borrow.rds
臺大凝態館南側,borrow_count,0.7216117259098349,4.579694012850177,3.048240253023397,743,models/model_臺大凝態館南側_borrow_count.rds
臺大凝態館南側,return_count,0.6997208524512315,4.4880207018069616,2.9959190408184324,743,models/model_臺大凝態館南側_return_count.rds
臺大凝態館南側,net_borrow,0.1784748615533065,4.390642942739973,2.7287213749428854,743,models/model_臺大凝態館南側_net_borrow.rds
臺大動物醫院前,borrow_count,0.6554619636791358,3.6899430629630503,2.5876764611404446,743,models/model_臺大動物醫院前_borrow_count.rds
臺大動物醫院前,return_count,0.6322876376859403,3.5817129922587845,2.484717705982464,743,models/model_臺大動物醫院前_return_count.rds
臺大動物醫院前,net_borrow,0.12093346561984597,3.4833452759406947,2.269173515713728,743,models/model_臺大動物醫院前_net_borrow.rds
臺大博理館西側,borrow_count,0.6565913960445497,5.2236679414629545,3.749999736826564,743,models/model_臺大博理館西側_borrow_count.rds
臺大博理館西側,return_count,0.7245947960644663,5.142515320053814,3.2849501117155278,743,models/model_臺大博理館西側_return_count.rds
臺大博理館西側,net_borrow,0.40417917942009174,5.881456424228646,3.973744418579767,743,models/model_臺大博理館西側_net_borrow.rds
臺大博雅館西側,borrow_count,0.2701982283053901,7.093684344697032,4.338772145698671,743,models/model_臺大博雅館西側_borrow_count.rds
臺大博雅館西側,return_count,0.1628507804871302,8.968946679011125,5.4078798283546226,743,models/model_臺大博雅館西側_return_count.rds
臺大博雅館西側,net_borrow,0.21296844973933537,9.930347299001546,6.142363750115302,743,models/model_臺大博雅館西側_net_borrow.rds
臺大原分所北側,borrow_count,0.601116832353257,2.704402220020973,1.7136284914074849,743,models/model_臺大原分所北側_borrow_count.rds
臺大原分所北側,return_count,0.6163295080847911,2.6646190068490605,1.738009462902141,743,models/model_臺大原分所北側_return_count.rds
臺大原分所北側,net_borrow,0.3023115079880523,2.54064773199889,1.555256017071777,743,models/model_臺大原分所北側_net_borrow.rds
臺大四號館東北側,borrow_count,0.38048285736209164,1.926028625472162,1.3111583068371133,743,models/model_臺大四號館東北側_borrow_count.rds
臺大四號館東北側,return_count,0.430416182426557,1.723007263386954,1.0624297268137648,743,models/model_臺大四號館東北側_return_count.rds
臺大四號館東北側,net_borrow,-0.025328394331187276,1.8651186548787475,1.1225309338374994,743,models/model_臺大四號館東北側_net_borrow.rds
臺大國青大樓宿舍前,borrow_count,0.34301157115251546,4.177266880684541,3.1897727617086464,743,models/model_臺大國青大樓宿舍前_borrow_count.rds
臺大國青大樓宿舍前,return_count,0.3152490204984648,4.024441684838794,3.1794805143770897,743,models/model_臺大國青大樓宿舍前_return_count.rds
臺大國青大樓宿舍前,net_borrow,-0.00887098453220947,3.425873486803612,2.487801125332481,743,models/model_臺大國青大樓宿舍前_net_borrow.rds
臺大圖資系館北側,borrow_count,0.4761360517709057,9.540737264639882,5.877753271740735,743,models/model_臺大圖資系館北側_borrow_count.rds
臺大圖資系館北側,return_count,0.5605965952133148,7.998789459842506,5.026554619996272,743,models/model_臺大圖資系館北側_return_count.rds
臺大圖資系館北側,net_borrow,0.4550943651168051,9.622252120570762,5.8844503738588845,743,models/model_臺大圖資系館北側_net_borrow.rds
臺大土木系館,borrow_count,0.48368930703951785,4.5616694218971965,2.853304818250517,743,models/model_臺大土木系館_borrow_count.rds
臺大土木系館,return_count,0.5538085602395979,4.110856800861467,2.6017297737403973,743,models/model_臺大土木系館_return_count.rds
臺大土木系館,net_borrow,0.34528810385375386,4.740462276623007,2.915939853407,743,models/model_臺大土木系館_net_borrow.rds
臺大大一女舍北側,borrow_count,0.44130031971579486,5.918816135312,4.571748279690382,743,models/model_臺大大一女舍北側_borrow_count.rds
臺大大一女舍北側,return_count,0.6481977038745725,6.255765166710549,4.173156397892556,743,models/model_臺大大一女舍北側_return_count.rds
臺大大一女舍北側,net_borrow,0.3490214275449268,6.507850373622657,4.448941195514572,743,models/model_臺大大一女舍北側_net_borrow.rds
臺大天文數學館南側,borrow_count,0.6741073542934982,5.116799990580113,3.2602412538446384,743,models/model_臺大天文數學館南側_borrow_count.rds
臺大天文數學館南側,return_count,0.7197419364628828,4.324442195680853,2.825245817094857,743,models/model_臺大天文數學館南側_return_count.rds
臺大天文數學館南側,net_borrow,0.5487250043411569,5.096061657135952,3.3196759630637858,743,models/model_臺大天文數學館南側_net_borrow.rds
臺大女九舍西南側,borrow_count,0.5783865543028359,14.836283180928314,8.973357335433278,743,models/model_臺大女九舍西南側_borrow_count.rds
臺大女九舍西南側,return_count,0.5897478326038352,14.23668761173029,9.173561726402243,743,models/model_臺大女九舍西南側_return_count.rds
臺大女九舍西南側,net_borrow,0.5057473700262642,17.30372778091001,10.223452801701422,743,models/model_臺大女九舍西南側_net_borrow.rds
臺大小小福西南側,borrow_count,0.45560694873009133,1.810743343721966,1.1727190021287779,743,models/model_臺大小小福西南側_borrow_count.rds
臺大小小福西南側,return_count,0.567505753486564,1.3903617838152023,0.9072215146532792,743,models/model_臺大小小福西南側_return_count.rds
