station,date,hour,borrow_count,return_count,inventory,neighbor_inventory_450m
辛亥復興路口西北側,2024-09-04,4,1.0,0.0,19.0,205.0
辛亥復興路口西北側,2024-09-04,5,0.0,1.0,20.0,205.0
辛亥復興路口西北側,2024-09-04,6,3.0,1.0,18.0,216.0
辛亥復興路口西北側,2024-09-04,7,24.0,21.0,15.0,262.0
辛亥復興路口西北側,2024-09-04,8,26.0,23.0,12.0,352.0
辛亥復興路口西北側,2024-09-04,9,10.0,12.0,14.0,466.0
辛亥復興路口西北側,2024-09-04,10,6.0,6.0,14.0,520.0
辛亥復興路口西北側,2024-09-04,11,38.0,38.0,14.0,451.0
辛亥復興路口西北側,2024-09-04,12,66.0,65.0,13.0,446.0
辛亥復興路口西北側,2024-09-04,13,32.0,31.0,12.0,408.0
辛亥復興路口西北側,2024-09-04,14,7.0,10.0,15.0,449.0
辛亥復興路口西北側,2024-09-04,15,15.0,12.0,12.0,399.0
辛亥復興路口西北側,2024-09-04,16,13.0,16.0,15.0,266.0
辛亥復興路口西北側,2024-09-04,17,41.0,38.0,12.0,237.0
辛亥復興路口西北側,2024-09-04,18,40.0,40.0,12.0,201.0
辛亥復興路口西北側,2024-09-04,19,33.0,36.0,15.0,187.0
辛亥復興路口西北側,2024-09-04,20,17.0,14.0,12.0,179.0
辛亥復興路口西北側,2024-09-04,21,9.0,9.0,12.0,179.0
辛亥復興路口西北側,2024-09-04,22,8.0,9.0,13.0,175.0
辛亥復興路口西北側,2024-09-04,23,3.0,3.0,13.0,171.0
辛亥復興路口西北側,2024-09-05,0,2.0,2.0,13.0,179.0
辛亥復興路口西北側,2024-09-05,1,0.0,1.0,14.0,180.0
辛亥復興路口西北側,2024-09-05,2,0.0,0.0,14.0,180.0
辛亥復興路口西北側,2024-09-05,3,1.0,0.0,13.0,180.0
辛亥復興路口西北側,2024-09-05,4,1.0,0.0,12.0,180.0
辛亥復興路口西北側,2024-09-05,5,0.0,0.0,12.0,178.0
辛亥復興路口西北側,2024-09-05,6,3.0,4.0,13.0,182.0
辛亥復興路口西北側,2024-09-05,7,21.0,26.0,18.0,228.0
辛亥復興路口西北側,2024-09-05,8,34.0,27.0,11.0,325.0
辛亥復興路口西北側,2024-09-05,9,8.0,8.0,11.0,431.0
辛亥復興路口西北側,2024-09-05,10,15.0,17.0,13.0,478.0
辛亥復興路口西北側,2024-09-05,11,26.0,40.0,27.0,475.0
辛亥復興路口西北側,2024-09-05,12,80.0,64.0,11.0,473.0
辛亥復興路口西北側,2024-09-05,13,31.0,31.0,11.0,501.0
辛亥復興路口西北側,2024-09-05,14,10.0,10.0,11.0,498.0
辛亥復興路口西北側,2024-09-05,15,20.0,21.0,12.0,454.0
辛亥復興路口西北側,2024-09-05,16,23.0,26.0,15.0,359.0
辛亥復興路口西北側,2024-09-05,17,32.0,30.0,13.0,201.0
辛亥復興路口西北側,2024-09-05,18,43.0,44.0,14.0,204.0
辛亥復興路口西北側,2024-09-05,19,27.0,27.0,14.0,201.0
辛亥復興路口西北側,2024-09-05,20,8.0,7.0,13.0,200.0
辛亥復興路口西北側,2024-09-05,21,12.0,11.0,12.0,192.0
辛亥復興路口西北側,2024-09-05,22,5.0,5.0,12.0,196.0
辛亥復興路口西北側,2024-09-05,23,7.0,8.0,13.0,187.0
辛亥復興路口西北側,2024-09-06,0,3.0,4.0,14.0,185.0
辛亥復興路口西北側,2024-09-06,1,0.0,0.0,14.0,182.0
辛亥復興路口西北側,2024-09-06,2,0.0,0.0,14.0,183.0
辛亥復興路口西北側,2024-09-06,3,0.0,0.0,14.0,185.0
辛亥復興路口西北側,2024-09-06,4,0.0,0.0,14.0,186.0
辛亥復興路口西北側,2024-09-06,5,0.0,0.0,14.0,185.0
辛亥復興路口西北側,2024-09-06,6,3.0,4.0,15.0,195.0
辛亥復興路口西北側,2024-09-06,7,22.0,21.0,14.0,241.0
辛亥復興路口西北側,2024-09-06,8,33.0,32.0,13.0,338.0
辛亥復興路口西北側,2024-09-06,9,11.0,11.0,13.0,463.0
辛亥復興路口西北側,2024-09-06,10,11.0,10.0,12.0,525.0
辛亥復興路口西北側,2024-09-06,11,35.0,40.0,17.0,523.0
辛亥復興路口西北側,2024-09-06,12,74.0,71.0,14.0,468.0
辛亥復興路口西北側,2024-09-06,13,26.0,26.0,14.0,433.0
辛亥復興路口西北側,2024-09-06,14,18.0,17.0,13.0,428.0
辛亥復興路口西北側,2024-09-06,15,14.0,13.0,12.0,383.0
辛亥復興路口西北側,2024-09-06,16,18.0,18.0,12.0,279.0
辛亥復興路口西北側,2024-09-06,17,26.0,26.0,12.0,210.0
辛亥復興路口西北側,2024-09-06,18,33.0,33.0,12.0,191.0
辛亥復興路口西北側,2024-09-06,19,30.0,34.0,16.0,191.0
辛亥復興路口西北側,2024-09-06,20,15.0,16.0,17.0,192.0
辛亥復興路口西北側,2024-09-06,21,14.0,10.0,13.0,178.0
辛亥復興路口西北側,2024-09-06,22,5.0,4.0,12.0,173.0
辛亥復興路口西北側,2024-09-06,23,1.0,4.0,15.0,165.0
辛亥復興路口西北側,2024-09-07,0,1.0,10.0,24.0,162.0
辛亥復興路口西北側,2024-09-07,1,0.0,0.0,24.0,160.0
辛亥復興路口西北側,2024-09-07,2,0.0,1.0,25.0,164.0
辛亥復興路口西北側,2024-09-07,3,0.0,0.0,25.0,165.0
辛亥復興路口西北側,2024-09-07,4,0.0,0.0,25.0,161.0
辛亥復興路口西北側,2024-09-07,5,2.0,0.0,23.0,155.0
辛亥復興路口西北側,2024-09-07,6,2.0,0.0,21.0,152.0
辛亥復興路口西北側,2024-09-07,7,2.0,5.0,24.0,154.0
辛亥復興路口西北側,2024-09-07,8,12.0,3.0,15.0,153.0
辛亥復興路口西北側,2024-09-07,9,26.0,32.0,21.0,142.0
辛亥復興路口西北側,2024-09-07,10,20.0,16.0,17.0,138.0
辛亥復興路口西北側,2024-09-07,11,18.0,16.0,15.0,158.0
辛亥復興路口西北側,2024-09-07,12,15.0,15.0,15.0,175.0
辛亥復興路口西北側,2024-09-07,13,19.0,17.0,13.0,155.0
辛亥復興路口西北側,2024-09-07,14,16.0,16.0,13.0,172.0
辛亥復興路口西北側,2024-09-07,15,8.0,14.0,19.0,166.0
辛亥復興路口西北側,2024-09-07,16,23.0,16.0,12.0,156.0
辛亥復興路口西北側,2024-09-07,17,18.0,23.0,17.0,109.0
辛亥復興路口西北側,2024-09-07,18,9.0,18.0,26.0,108.0
辛亥復興路口西北側,2024-09-07,19,1.0,2.0,27.0,116.0
辛亥復興路口西北側,2024-09-07,20,5.0,5.0,27.0,122.0
辛亥復興路口西北側,2024-09-07,21,10.0,10.0,27.0,118.0
辛亥復興路口西北側,2024-09-07,22,5.0,6.0,28.0,117.0
辛亥復興路口西北側,2024-09-07,23,4.0,3.0,27.0,104.0
辛亥復興路口西北側,2024-09-08,0,2.0,1.0,26.0,108.0
辛亥復興路口西北側,2024-09-08,1,5.0,1.0,22.0,115.0
辛亥復興路口西北側,2024-09-08,2,1.0,2.0,23.0,112.0
辛亥復興路口西北側,2024-09-08,3,0.0,0.0,23.0,114.0
辛亥復興路口西北側,2024-09-08,4,2.0,6.0,27.0,117.0
辛亥復興路口西北側,2024-09-08,5,0.0,0.0,27.0,118.0
辛亥復興路口西北側,2024-09-08,6,1.0,1.0,27.0,109.0
辛亥復興路口西北側,2024-09-08,7,7.0,4.0,24.0,106.0
辛亥復興路口西北側,2024-09-08,8,10.0,5.0,19.0,93.0
辛亥復興路口西北側,2024-09-08,9,11.0,11.0,19.0,87.0
辛亥復興路口西北側,2024-09-08,10,12.0,9.0,16.0,92.0
辛亥復興路口西北側,2024-09-08,11,12.0,20.0,24.0,78.0
辛亥復興路口西北側,2024-09-08,12,29.0,27.0,22.0,73.0
辛亥復興路口西北側,2024-09-08,13,30.0,22.0,14.0,69.0
辛亥復興路口西北側,2024-09-08,14,14.0,18.0,18.0,81.0
辛亥復興路口西北側,2024-09-08,15,14.0,14.0,18.0,93.0
辛亥復興路口西北側,2024-09-08,16,16.0,16.0,18.0,62.0
辛亥復興路口西北側,2024-09-08,17,38.0,32.0,12.0,54.0
辛亥復興路口西北側,2024-09-08,18,35.0,50.0,27.0,49.0
辛亥復興路口西北側,2024-09-08,19,38.0,22.0,11.0,57.0
辛亥復興路口西北側,2024-09-08,20,6.0,7.0,12.0,63.0
辛亥復興路口西北側,2024-09-08,21,7.0,10.0,15.0,93.0
辛亥復興路口西北側,2024-09-08,22,6.0,8.0,17.0,101.0
辛亥復興路口西北側,2024-09-08,23,2.0,8.0,23.0,97.0
辛亥復興路口西北側,2024-09-09,0,1.0,2.0,24.0,89.0
辛亥復興路口西北側,2024-09-09,1,0.0,0.0,24.0,89.0
辛亥復興路口西北側,2024-09-09,2,0.0,1.0,25.0,90.0
辛亥復興路口西北側,2024-09-09,3,1.0,0.0,24.0,88.0
辛亥復興路口西北側,2024-09-09,4,1.0,0.0,23.0,91.0
辛亥復興路口西北側,2024-09-09,5,0.0,1.0,24.0,92.0
辛亥復興路口西北側,2024-09-09,6,4.0,4.0,24.0,95.0
辛亥復興路口西北側,2024-09-09,7,19.0,19.0,24.0,134.0
辛亥復興路口西北側,2024-09-09,8,40.0,26.0,10.0,210.0
辛亥復興路口西北側,2024-09-09,9,12.0,12.0,10.0,329.0
辛亥復興路口西北側,2024-09-09,10,20.0,23.0,13.0,449.0
辛亥復興路口西北側,2024-09-09,11,37.0,39.0,15.0,478.0
辛亥復興路口西北側,2024-09-09,12,60.0,56.0,11.0,458.0
辛亥復興路口西北側,2024-09-09,13,33.0,31.0,9.0,475.0
辛亥復興路口西北側,2024-09-09,14,9.0,13.0,13.0,498.0
辛亥復興路口西北側,2024-09-09,15,12.0,9.0,10.0,517.0
辛亥復興路口西北側,2024-09-09,16,16.0,25.0,19.0,382.0
辛亥復興路口西北側,2024-09-09,17,59.0,50.0,10.0,130.0
辛亥復興路口西北側,2024-09-09,18,52.0,51.0,9.0,67.0
辛亥復興路口西北側,2024-09-09,19,21.0,21.0,9.0,46.0
辛亥復興路口西北側,2024-09-09,20,16.0,16.0,9.0,43.0
辛亥復興路口西北側,2024-09-09,21,8.0,10.0,11.0,40.0
辛亥復興路口西北側,2024-09-09,22,9.0,7.0,9.0,45.0
辛亥復興路口西北側,2024-09-09,23,2.0,5.0,12.0,54.0
辛亥復興路口西北側,2024-09-10,0,5.0,3.0,10.0,57.0
辛亥復興路口西北側,2024-09-10,1,0.0,0.0,10.0,57.0
辛亥復興路口西北側,2024-09-10,2,0.0,0.0,10.0,57.0
辛亥復興路口西北側,2024-09-10,3,0.0,0.0,10.0,58.0
辛亥復興路口西北側,2024-09-10,4,0.0,0.0,10.0,58.0
辛亥復興路口西北側,2024-09-10,5,0.0,0.0,10.0,59.0
辛亥復興路口西北側,2024-09-10,6,3.0,5.0,12.0,62.0
辛亥復興路口西北側,2024-09-10,7,20.0,26.0,18.0,107.0
辛亥復興路口西北側,2024-09-10,8,36.0,26.0,8.0,186.0
辛亥復興路口西北側,2024-09-10,9,13.0,13.0,8.0,298.0
辛亥復興路口西北側,2024-09-10,10,7.0,12.0,13.0,403.0
辛亥復興路口西北側,2024-09-10,11,29.0,30.0,14.0,410.0
辛亥復興路口西北側,2024-09-10,12,63.0,59.0,10.0,325.0
辛亥復興路口西北側,2024-09-10,13,21.0,20.0,9.0,338.0
辛亥復興路口西北側,2024-09-10,14,10.0,9.0,8.0,307.0
辛亥復興路口西北側,2024-09-10,15,8.0,12.0,12.0,248.0
辛亥復興路口西北側,2024-09-10,16,26.0,23.0,9.0,145.0
辛亥復興路口西北側,2024-09-10,17,25.0,24.0,8.0,28.0
辛亥復興路口西北側,2024-09-10,18,54.0,54.0,8.0,13.0
辛亥復興路口西北側,2024-09-10,19,25.0,25.0,8.0,12.0
辛亥復興路口西北側,2024-09-10,20,12.0,13.0,9.0,12.0
辛亥復興路口西北側,2024-09-10,21,16.0,15.0,8.0,13.0
辛亥復興路口西北側,2024-09-10,22,6.0,6.0,8.0,15.0
辛亥復興路口西北側,2024-09-10,23,1.0,2.0,9.0,19.0
辛亥復興路口西北側,2024-09-11,0,0.0,3.0,12.0,22.0
辛亥復興路口西北側,2024-09-11,1,0.0,0.0,12.0,20.0
辛亥復興路口西北側,2024-09-11,2,0.0,2.0,14.0,22.0
辛亥復興路口西北側,2024-09-11,3,1.0,1.0,14.0,24.0
辛亥復興路口西北側,2024-09-11,4,1.0,1.0,14.0,23.0
辛亥復興路口西北側,2024-09-11,5,0.0,0.0,14.0,19.0
辛亥復興路口西北側,2024-09-11,6,7.0,3.0,10.0,21.0
辛亥復興路口西北側,2024-09-11,7,15.0,18.0,13.0,66.0
辛亥復興路口西北側,2024-09-11,8,33.0,28.0,8.0,185.0
辛亥復興路口西北側,2024-09-11,9,18.0,18.0,8.0,308.0
辛亥復興路口西北側,2024-09-11,10,16.0,14.0,6.0,398.0
辛亥復興路口西北側,2024-09-11,11,24.0,25.0,7.0,420.0
辛亥復興路口西北側,2024-09-11,12,59.0,58.0,6.0,315.0
辛亥復興路口西北側,2024-09-11,13,21.0,23.0,8.0,330.0
辛亥復興路口西北側,2024-09-11,14,12.0,10.0,6.0,310.0
辛亥復興路口西北側,2024-09-11,15,10.0,13.0,9.0,304.0
辛亥復興路口西北側,2024-09-11,16,19.0,17.0,7.0,176.0
辛亥復興路口西北側,2024-09-11,17,38.0,39.0,8.0,58.0
辛亥復興路口西北側,2024-09-11,18,50.0,49.0,7.0,13.0
辛亥復興路口西北側,2024-09-11,19,20.0,20.0,7.0,1.0
辛亥復興路口西北側,2024-09-11,20,13.0,14.0,8.0,-8.0
辛亥復興路口西北側,2024-09-11,21,6.0,6.0,8.0,-11.0
辛亥復興路口西北側,2024-09-11,22,11.0,12.0,9.0,-9.0
辛亥復興路口西北側,2024-09-11,23,4.0,6.0,11.0,-2.0
辛亥復興路口西北側,2024-09-12,0,2.0,2.0,11.0,-2.0
辛亥復興路口西北側,2024-09-12,1,1.0,0.0,10.0,-1.0
辛亥復興路口西北側,2024-09-12,2,0.0,0.0,10.0,-4.0
辛亥復興路口西北側,2024-09-12,3,0.0,1.0,11.0,-2.0
辛亥復興路口西北側,2024-09-12,4,0.0,0.0,11.0,-4.0
辛亥復興路口西北側,2024-09-12,5,1.0,0.0,10.0,-4.0
辛亥復興路口西北側,2024-09-12,6,5.0,7.0,12.0,-1.0
辛亥復興路口西北側,2024-09-12,7,23.0,25.0,14.0,55.0
辛亥復興路口西北側,2024-09-12,8,38.0,28.0,4.0,140.0
辛亥復興路口西北側,2024-09-12,9,13.0,14.0,5.0,210.0
辛亥復興路口西北側,2024-09-12,10,16.0,15.0,4.0,297.0
辛亥復興路口西北側,2024-09-12,11,27.0,37.0,14.0,301.0
辛亥復興路口西北側,2024-09-12,12,81.0,71.0,4.0,300.0
辛亥復興路口西北側,2024-09-12,13,37.0,36.0,3.0,339.0
辛亥復興路口西北側,2024-09-12,14,9.0,9.0,3.0,393.0
辛亥復興路口西北側,2024-09-12,15,12.0,16.0,7.0,276.0
辛亥復興路口西北側,2024-09-12,16,27.0,23.0,3.0,181.0
辛亥復興路口西北側,2024-09-12,17,46.0,48.0,5.0,70.0
辛亥復興路口西北側,2024-09-12,18,38.0,38.0,5.0,41.0
辛亥復興路口西北側,2024-09-12,19,30.0,32.0,7.0,38.0
辛亥復興路口西北側,2024-09-12,20,10.0,9.0,6.0,35.0
辛亥復興路口西北側,2024-09-12,21,9.0,8.0,5.0,26.0
辛亥復興路口西北側,2024-09-12,22,4.0,8.0,9.0,28.0
辛亥復興路口西北側,2024-09-12,23,7.0,4.0,6.0,28.0
辛亥復興路口西北側,2024-09-13,0,1.0,0.0,5.0,29.0
辛亥復興路口西北側,2024-09-13,1,0.0,0.0,5.0,29.0
辛亥復興路口西北側,2024-09-13,2,0.0,0.0,5.0,30.0
辛亥復興路口西北側,2024-09-13,3,0.0,1.0,6.0,33.0
辛亥復興路口西北側,2024-09-13,4,1.0,0.0,5.0,34.0
辛亥復興路口西北側,2024-09-13,5,1.0,2.0,6.0,33.0
辛亥復興路口西北側,2024-09-13,6,1.0,1.0,6.0,42.0
辛亥復興路口西北側,2024-09-13,7,22.0,24.0,8.0,91.0
辛亥復興路口西北側,2024-09-13,8,36.0,34.0,6.0,206.0
辛亥復興路口西北側,2024-09-13,9,15.0,14.0,5.0,350.0
辛亥復興路口西北側,2024-09-13,10,12.0,13.0,6.0,387.0
辛亥復興路口西北側,2024-09-13,11,28.0,34.0,12.0,379.0
辛亥復興路口西北側,2024-09-13,12,58.0,51.0,5.0,318.0
辛亥復興路口西北側,2024-09-13,13,37.0,37.0,5.0,324.0
辛亥復興路口西北側,2024-09-13,14,8.0,7.0,4.0,321.0
辛亥復興路口西北側,2024-09-13,15,17.0,18.0,5.0,266.0
辛亥復興路口西北側,2024-09-13,16,14.0,17.0,8.0,149.0
辛亥復興路口西北側,2024-09-13,17,38.0,34.0,4.0,66.0
辛亥復興路口西北側,2024-09-13,18,32.0,38.0,10.0,54.0
辛亥復興路口西北側,2024-09-13,19,33.0,29.0,6.0,56.0
辛亥復興路口西北側,2024-09-13,20,11.0,10.0,5.0,55.0
辛亥復興路口西北側,2024-09-13,21,5.0,6.0,6.0,42.0
辛亥復興路口西北側,2024-09-13,22,5.0,4.0,5.0,55.0
辛亥復興路口西北側,2024-09-13,23,4.0,7.0,8.0,54.0
辛亥復興路口西北側,2024-09-14,0,0.0,2.0,10.0,52.0
辛亥復興路口西北側,2024-09-14,1,1.0,0.0,9.0,50.0
辛亥復興路口西北側,2024-09-14,2,2.0,0.0,7.0,47.0
辛亥復興路口西北側,2024-09-14,3,2.0,0.0,5.0,47.0
辛亥復興路口西北側,2024-09-14,4,0.0,1.0,6.0,48.0
辛亥復興路口西北側,2024-09-14,5,0.0,0.0,6.0,48.0
辛亥復興路口西北側,2024-09-14,6,1.0,2.0,7.0,41.0
辛亥復興路口西北側,2024-09-14,7,5.0,3.0,5.0,48.0
辛亥復興路口西北側,2024-09-14,8,10.0,10.0,5.0,64.0
辛亥復興路口西北側,2024-09-14,9,7.0,7.0,5.0,58.0
辛亥復興路口西北側,2024-09-14,10,6.0,7.0,6.0,54.0
辛亥復興路口西北側,2024-09-14,11,7.0,13.0,12.0,62.0
辛亥復興路口西北側,2024-09-14,12,6.0,6.0,12.0,66.0
辛亥復興路口西北側,2024-09-14,13,20.0,14.0,6.0,78.0
辛亥復興路口西北側,2024-09-14,14,4.0,5.0,7.0,80.0
辛亥復興路口西北側,2024-09-14,15,1.0,2.0,8.0,81.0
辛亥復興路口西北側,2024-09-14,16,7.0,5.0,6.0,21.0
辛亥復興路口西北側,2024-09-14,17,12.0,15.0,9.0,4.0
辛亥復興路口西北側,2024-09-14,18,14.0,21.0,16.0,7.0
辛亥復興路口西北側,2024-09-14,19,12.0,3.0,7.0,0.0
辛亥復興路口西北側,2024-09-14,20,7.0,6.0,6.0,2.0
辛亥復興路口西北側,2024-09-14,21,6.0,8.0,8.0,-2.0
辛亥復興路口西北側,2024-09-14,22,7.0,5.0,6.0,10.0
辛亥復興路口西北側,2024-09-14,23,3.0,4.0,7.0,12.0
辛亥復興路口西北側,2024-09-15,0,2.0,7.0,12.0,15.0
辛亥復興路口西北側,2024-09-15,1,0.0,1.0,13.0,17.0
辛亥復興路口西北側,2024-09-15,2,0.0,0.0,13.0,17.0
辛亥復興路口西北側,2024-09-15,3,1.0,2.0,14.0,17.0
辛亥復興路口西北側,2024-09-15,4,0.0,2.0,16.0,16.0
辛亥復興路口西北側,2024-09-15,5,2.0,0.0,14.0,16.0
辛亥復興路口西北側,2024-09-15,6,3.0,1.0,12.0,15.0
辛亥復興路口西北側,2024-09-15,7,1.0,2.0,13.0,11.0
辛亥復興路口西北側,2024-09-15,8,6.0,8.0,15.0,30.0
辛亥復興路口西北側,2024-09-15,9,10.0,7.0,12.0,20.0
辛亥復興路口西北側,2024-09-15,10,8.0,9.0,13.0,12.0
辛亥復興路口西北側,2024-09-15,11,14.0,20.0,19.0,29.0
辛亥復興路口西北側,2024-09-15,12,30.0,25.0,14.0,51.0
辛亥復興路口西北側,2024-09-15,13,26.0,29.0,17.0,67.0
辛亥復興路口西北側,2024-09-15,14,29.0,20.0,8.0,69.0
辛亥復興路口西北側,2024-09-15,15,9.0,8.0,7.0,72.0
辛亥復興路口西北側,2024-09-15,16,14.0,20.0,13.0,6.0
辛亥復興路口西北側,2024-09-15,17,46.0,42.0,9.0,4.0
辛亥復興路口西北側,2024-09-15,18,31.0,42.0,20.0,-13.0
辛亥復興路口西北側,2024-09-15,19,41.0,26.0,5.0,-3.0
辛亥復興路口西北側,2024-09-15,20,6.0,9.0,8.0,-2.0
辛亥復興路口西北側,2024-09-15,21,8.0,9.0,9.0,15.0
辛亥復興路口西北側,2024-09-15,22,10.0,7.0,6.0,14.0
辛亥復興路口西北側,2024-09-15,23,2.0,1.0,5.0,18.0
辛亥復興路口西北側,2024-09-16,0,0.0,6.0,11.0,18.0
辛亥復興路口西北側,2024-09-16,1,0.0,1.0,12.0,15.0
辛亥復興路口西北側,2024-09-16,2,0.0,1.0,13.0,17.0
辛亥復興路口西北側,2024-09-16,3,0.0,0.0,13.0,18.0
辛亥復興路口西北側,2024-09-16,4,1.0,0.0,12.0,18.0
辛亥復興路口西北側,2024-09-16,5,1.0,0.0,11.0,15.0
辛亥復興路口西北側,2024-09-16,6,6.0,2.0,7.0,23.0
辛亥復興路口西北側,2024-09-16,7,16.0,16.0,7.0,50.0
辛亥復興路口西北側,2024-09-16,8,27.0,29.0,9.0,133.0
辛亥復興路口西北側,2024-09-16,9,16.0,12.0,5.0,236.0
辛亥復興路口西北側,2024-09-16,10,15.0,16.0,6.0,301.0
辛亥復興路口西北側,2024-09-16,11,26.0,40.0,20.0,307.0
辛亥復興路口西北側,2024-09-16,12,65.0,49.0,4.0,314.0
辛亥復興路口西北側,2024-09-16,13,33.0,33.0,4.0,348.0
辛亥復興路口西北側,2024-09-16,14,11.0,14.0,7.0,345.0
辛亥復興路口西北側,2024-09-16,15,12.0,15.0,10.0,327.0
